word,mean_z_real,mean_z_generated,z_difference_generated_minus_real,abs_z_difference
русском,-0.059203985652034184,0.05791694248568567,0.11712092813771985,0.11712092813771985
признаков,0.05897019560862755,-0.05768823483452692,-0.11665843044315446,0.11665843044315446
понятие,0.05873272675655817,-0.057455928348806945,-0.11618865510536511,0.11618865510536511
наиболее,0.05251534468553763,-0.05137370675759095,-0.10388905144312859,0.10388905144312859
стороны,0.051723464112565135,-0.05059904097968317,-0.1023225050922483,0.1023225050922483
a,0.05136336372815226,-0.05024676886449677,-0.10161013259264903,0.10161013259264903
же,0.05096317094763403,-0.04985527592703333,-0.10081844687466736,0.10081844687466736
его,0.050184637112102234,-0.04909366674010062,-0.09927830385220285,0.09927830385220285
либо,-0.04824933850371464,0.0472004398405904,0.09544977834430504,0.09544977834430504
до,-0.04531123028912839,0.04432620354371219,0.08963743383284058,0.08963743383284058
слово,-0.04466895820082791,0.04369789389211421,0.08836685209294212,0.08836685209294212
текста,0.04421363372838979,-0.04325246777777274,-0.08746610150616252,0.08746610150616252
об,0.0434092741730735,-0.042465594299745904,-0.0858748684728194,0.0858748684728194
используется,-0.03898775378779762,0.0381401939228454,0.07712794771064302,0.07712794771064302
можно,0.036999564785834105,-0.03619522642092458,-0.07319479120675867,0.07319479120675867
у,-0.03657345086119408,0.03577837584247246,0.07235182670366655,0.07235182670366655
системы,0.035813091486459364,-0.03503454601936241,-0.07084763750582176,0.07084763750582176
тексте,0.03462418513417834,-0.033871485457348485,-0.06849567059152682,0.06849567059152682
метафор,-0.033794484485696254,0.03305982177948557,0.06685430626518182,0.06685430626518182
однако,0.03197614730262372,-0.03128101366560986,-0.06325716096823358,0.06325716096823358
между,-0.03101021186240587,0.03033607682191881,0.06134628868432468,0.06134628868432468
их,-0.027538890878535872,0.026940219337698114,0.054479110216233986,0.054479110216233986
является,-0.023487349634788116,0.022976755077510142,0.046464104712298254,0.046464104712298254
одной,0.021077078516331473,-0.020618881157280562,-0.04169595967361203,0.04169595967361203
собой,0.019109487772254574,-0.01869406412503143,-0.037803551897286,0.037803551897286
теории,-0.017662536441145932,0.017278568257642547,0.03494110469878848,0.03494110469878848
значение,0.017591939615671588,-0.0172095061457657,-0.03480144576143729,0.03480144576143729
язык,-0.01726584856667314,0.01689050403261524,0.034156352599288384,0.034156352599288384
глаголы,-0.01666014869897683,0.01629797155334682,0.032958120252323655,0.032958120252323655
являются,-0.016094346879667393,0.015744469773587736,0.03183881665325513,0.03183881665325513
этого,-0.014842217670793412,0.01451956076490696,0.02936177843570037,0.02936177843570037
дискурсе,-0.014692762928094837,0.014373355038353663,0.0290661179664485,0.0290661179664485
позиции,0.013481630350926695,-0.01318855143025424,-0.026670181781180934,0.026670181781180934
метафора,-0.012283232119833946,0.012016205334620101,0.024299437454454047,0.024299437454454047
этом,0.010284745558449795,-0.010061164133265995,-0.02034590969171579,0.02034590969171579
хлеб,0.01021782849764947,-0.009995701791178863,-0.020213530288828333,0.020213530288828333
уже,-0.008850657374987383,0.00865825177987889,0.017508909154866272,0.017508909154866272
глаголов,-0.00785394617148005,0.007683208211230361,0.01553715438271041,0.01553715438271041
могут,-0.006668031476405008,0.006523074270396006,0.013191105746801015,0.013191105746801015
речи,0.006560966397777462,-0.006418336693477916,-0.012979303091255378,0.012979303091255378
культуры,0.006410786071829473,-0.006271421157224436,-0.012682207229053909,0.012682207229053909
не,-0.0044219026745040465,0.004325774355493917,0.008747677029997965,0.008747677029997965
русского,-0.00431132505295559,0.004217600595282701,0.008528925648238291,0.008528925648238291
языках,-0.004053495078038284,0.003965375619820172,0.008018870697858456,0.008018870697858456
к,0.0030983708124001914,-0.003031014925174351,-0.0061293857375745425,0.0061293857375745425
текстов,-4.081169230907042e-05,3.9924481606646225e-05,8.073617391571665e-05,8.073617391571665e-05
